"source_id","citation","country","setting","population","study_design","pathogen_scope_type","pathogen_targets","finding_target_bucket","hospital_acquired_definition","diagnostic_method","surveillance_frame_timing","comparator_reference_group","findings_text","comparative_findings","exposure_transmission_context","predictors_risk_factors","labs_vitals_radiology","environmental_structural_factors","space_time_overlap_clustering","clinical_outcomes","operational_burden","differential_diagnosis_coinfection","seasonal_temporal_pattern","effect_sizes_model_performance","adjustment_level","key_limitations","study_reported_implication","codeblue_translation","translation_tags"
"malik_2025","Malik S et al. (2025) PMID: 41333356","India","Oncology ICU","711 adults","Prospective cohort","mixed_viral_bacterial_nosocomial_pneumonia","influenza","influenza","HAP/VAP >48h post-admission or intubation","VITEK-2; multiplex PCR","Single-center ICU cohort","Overall cohort; flu subset vs other viral pneumonia within cohort","Flu represented 14% of viral pneumonia cases and contributed to severe ICU burden","Flu interpreted within broader viral/bacterial ICU pneumonia mix","New imaging infiltrates plus sepsis used as deterioration context; ICU-acquired pneumonia setting","Post-surgical status; COPD; oncology immunosuppression","ANC <500 associated with 9.1x risk; imaging infiltrates mentioned","ICU setting only; no detailed ward architecture reported","NR","High mortality; required MV mirroring overall cohort; prolonged ICU/hospital stay","HAP added 9.6 days to hospital stay and 4.5 days to ICU stay; rapid multiplexing demand","Overlap with Gram-negative ICU bacteria; Klebsiella and Pseudomonas common","Monsoon peak July-September; year-round baseline risk","HR 9.0 for pneumonia death overall; VAP 18.7/1000 days","Not clear from summary if multivariable for all findings","Highly specific oncology ICU population; flu-stratified details limited","Severe nosocomial respiratory infection in oncology ICU is strongly associated with immunosuppression, neutropenia, ventilation burden, and prolonged stay","Good for high-risk oncology ward logic and seasonal preparedness, but not a clean influenza-only paper","risk_profile|resource_strain|oncology_icu|seasonality"
"malik_2025","Malik S et al. (2025) PMID: 41333356","India","Oncology ICU","711 adults","Prospective cohort","mixed_viral_bacterial_nosocomial_pneumonia","rhinovirus_enterovirus|sars_cov_2|mixed_non_influenza_viral_pneumonia","non_influenza","HAP/VAP >48h post-admission or intubation","VITEK-2; multiplex PCR","Single-center ICU cohort","Overall cohort; flu subset vs other viral pneumonia within cohort","48.2% nosocomial pneumonia overall; Rhino/Entero 27 and SARS-CoV-2 15 reported","Flu interpreted within broader viral/bacterial ICU pneumonia mix","New imaging infiltrates plus sepsis used as deterioration context; ICU-acquired pneumonia setting","Post-surgical status; COPD; oncology immunosuppression","ANC <500 associated with 9.1x risk; imaging infiltrates mentioned","ICU setting only; no detailed ward architecture reported","NR","High mortality; required MV mirroring overall cohort; prolonged ICU/hospital stay","HAP added 9.6 days to hospital stay and 4.5 days to ICU stay; rapid multiplexing demand","Overlap with Gram-negative ICU bacteria; Klebsiella and Pseudomonas common","Monsoon peak July-September; year-round baseline risk","HR 9.0 for pneumonia death overall; VAP 18.7/1000 days","Not clear from summary if multivariable for all findings","Highly specific oncology ICU population; flu-stratified details limited","Severe nosocomial respiratory infection in oncology ICU is strongly associated with immunosuppression, neutropenia, ventilation burden, and prolonged stay","Good for high-risk oncology ward logic and seasonal preparedness, but not a clean influenza-only paper","risk_profile|resource_strain|oncology_icu|seasonality"
"jimenez_juarez_2025","Jimenez-Juarez et al. (2025) DOI: 10.3390/v17060771","Mexico","Tertiary pediatric hospital","212 children","Retrospective cohort","influenza_plus_other_respiratory_viruses","influenza_a_h1n1|influenza_a_h3n2|influenza","influenza","Nosocomial acquisition post-admission; associated with MV risk","PCR; logistic regression","Pediatric hospital cohort","Within-cohort severity comparisons","AH1N1 36.8% and H3N2 26.9%; paradoxical breathing flagged as key flu deterioration sign","Shared deterioration features across pediatric respiratory viruses","Paradoxical breathing and hypotension as bedside escalation context","Nosocomial status; neuro/cardiac comorbidity; age 1-4 years peak vulnerability","Leukocytes 12.6k; neutrophils 49-59%; paradoxical breathing; hypotension","NR","NR","21.2% MV overall; mortality 10.3% in infants <1 year; median stay 6-16 days","High PICU and ventilator reliance","Bacterial coinfection increased MV risk","Peak Dec/Jan; year-round pediatric baseline","Descriptive proportions; logistic regression used but exact adjusted estimates not in source summary","Logistic regression reported","Single-center pediatric study; summary lacks full adjusted table","Pediatric hospital-acquired influenza and related viral disease can deteriorate rapidly, especially in young children with comorbidity and paradoxical breathing","Useful for pediatric CodeBlue rules, bedside deterioration triggers, and pediatric seasonal preparedness","risk_profile|ward_vuln|pediatrics|rapid_escalation"
"jimenez_juarez_2025","Jimenez-Juarez et al. (2025) DOI: 10.3390/v17060771","Mexico","Tertiary pediatric hospital","212 children","Retrospective cohort","influenza_plus_other_respiratory_viruses","rsv|rhinovirus|mixed_non_influenza_respiratory_viruses","non_influenza","Nosocomial acquisition post-admission; associated with MV risk","PCR; logistic regression","Pediatric hospital cohort","Within-cohort severity comparisons","25.5% coinfection with RSV/Rhino; non-flu viruses also linked to severity","Shared deterioration features across pediatric respiratory viruses","Paradoxical breathing and hypotension as bedside escalation context","Nosocomial status; neuro/cardiac comorbidity; age 1-4 years peak vulnerability","Leukocytes 12.6k; neutrophils 49-59%; paradoxical breathing; hypotension","NR","NR","21.2% MV overall; mortality 10.3% in infants <1 year; median stay 6-16 days","High PICU and ventilator reliance","Bacterial coinfection increased MV risk","Peak Dec/Jan; year-round pediatric baseline","Descriptive proportions; logistic regression used but exact adjusted estimates not in source summary","Logistic regression reported","Single-center pediatric study; summary lacks full adjusted table","Pediatric hospital-acquired influenza and related viral disease can deteriorate rapidly, especially in young children with comorbidity and paradoxical breathing","Useful for pediatric CodeBlue rules, bedside deterioration triggers, and pediatric seasonal preparedness","risk_profile|ward_vuln|pediatrics|rapid_escalation"
"ha_rvi_2025","HA-RVI Study (2025) DOI: 10.1111/tid.70135","NR","Tertiary academic center","10-year longitudinal cohort","Retrospective EHR cohort","mixed_hospital_acquired_respiratory_viruses","influenza","influenza","Positive result >=72h post-admission","EHR plus PCR records","10-year longitudinal","HA-flu vs CA-flu; mixed HA-RVI comparisons","Flu 6.6%; HA-flu associated with higher MV/RRT and higher in-hospital death than CA-flu; 2x more likely in cancer patients","Broad comparison of hospital-acquired respiratory viruses and community-acquired flu","New onset on oncology/SCT ward indicates acquisition context","Cancer 24.3%; chemotherapy within 30 days; SCT within 1 year","Immunocompromised status focus","High-risk oncology/SCT ward structure implicit","Ward-based clustering on oncology/SCT services","High dialysis and ventilation demand; increased stay duration; higher in-hospital death vs CA-flu","Systemic strain on SCT wards","Bacterial overlap increased severity","Year-round threat in high-risk SCT patients","p<0.05 for higher MV/RRT; p<0.01 for higher in-hospital death vs CA-flu","Adjusted status not fully clear from summary","Single-center high-risk population likely limits generalizability","Hospital-acquired respiratory viral infection is particularly severe in cancer/SCT populations and worse than community-acquired influenza in key outcomes","Strong support for ward vulnerability and high-risk oncology/SCT surveillance logic","ward_vuln|project_justification|immunocompromised|pathogen_pack"
"ha_rvi_2025","HA-RVI Study (2025) DOI: 10.1111/tid.70135","NR","Tertiary academic center","10-year longitudinal cohort","Retrospective EHR cohort","mixed_hospital_acquired_respiratory_viruses","rsv|parainfluenza|mixed_ha_rvi","non_influenza","Positive result >=72h post-admission","EHR plus PCR records","10-year longitudinal","HA-flu vs CA-flu; mixed HA-RVI comparisons","RSV 12.2%; PIV 10.9%; increased life-support needs in HA-RVI","Broad comparison of hospital-acquired respiratory viruses and community-acquired flu","New onset on oncology/SCT ward indicates acquisition context","Cancer 24.3%; chemotherapy within 30 days; SCT within 1 year","Immunocompromised status focus","High-risk oncology/SCT ward structure implicit","Ward-based clustering on oncology/SCT services","High dialysis and ventilation demand; increased stay duration; higher in-hospital death vs CA-flu","Systemic strain on SCT wards","Bacterial overlap increased severity","Year-round threat in high-risk SCT patients","p<0.05 for higher MV/RRT; p<0.01 for higher in-hospital death vs CA-flu","Adjusted status not fully clear from summary","Single-center high-risk population likely limits generalizability","Hospital-acquired respiratory viral infection is particularly severe in cancer/SCT populations and worse than community-acquired influenza in key outcomes","Strong support for ward vulnerability and high-risk oncology/SCT surveillance logic","ward_vuln|project_justification|immunocompromised|pathogen_pack"
"fan_2025","Fan et al. (2025) PMID: 39912067","China","Beijing Ditan Hospital","1051 adults","Retrospective ML study","influenza_vs_sars_cov_2_with_drp_focus","influenza","influenza","HA-DRP detected >=48h post-admission","Machine learning with SHAP and neural nets","2018-2024 seasonal waves","975 flu cases screened vs 1224 COVID cases screened","Flu cohort included in DRP-risk modeling","Comparative viral cohorts for hospital-acquired drug-resistant pathogen risk","Hospital-acquired DRP acquisition in already ill viral inpatients","Age >66; indwelling catheters; MV use; LOS","Albumin <35 g/L; low cholinesterase; SHAP top variables CHE, albumin, age","NR","NR","DRP group had universal deterioration in study framing; DRPs linked to mortality and severity","Demand for ICVC and ventilators","High antibiotic use drives resistance; P. aeruginosa 16.4%; K. pneumoniae 16.1%","2018-2024 seasonal waves","SHAP ranking identified top variables; neural nets used; exact AUC not in source summary","ML explainability framework used","Focuses on DRPs rather than pure influenza outcomes; summary lacks full performance details","Hospital-acquired drug-resistant pathogens in viral respiratory disease can be predicted from routine clinical variables and materially worsen severity","Very useful for stewardship and bacterial-overlap module linked to influenza pathways","stewardship|pathogen_pack|drp|coinfection"
"fan_2025","Fan et al. (2025) PMID: 39912067","China","Beijing Ditan Hospital","1051 adults","Retrospective ML study","influenza_vs_sars_cov_2_with_drp_focus","sars_cov_2","non_influenza","HA-DRP detected >=48h post-admission","Machine learning with SHAP and neural nets","2018-2024 seasonal waves","975 flu cases screened vs 1224 COVID cases screened","Parallel COVID cohort included in DRP-risk modeling","Comparative viral cohorts for hospital-acquired drug-resistant pathogen risk","Hospital-acquired DRP acquisition in already ill viral inpatients","Age >66; indwelling catheters; MV use; LOS","Albumin <35 g/L; low cholinesterase; SHAP top variables CHE, albumin, age","NR","NR","DRP group had universal deterioration in study framing; DRPs linked to mortality and severity","Demand for ICVC and ventilators","High antibiotic use drives resistance; P. aeruginosa 16.4%; K. pneumoniae 16.1%","2018-2024 seasonal waves","SHAP ranking identified top variables; neural nets used; exact AUC not in source summary","ML explainability framework used","Focuses on DRPs rather than pure influenza outcomes; summary lacks full performance details","Hospital-acquired drug-resistant pathogens in viral respiratory disease can be predicted from routine clinical variables and materially worsen severity","Very useful for stewardship and bacterial-overlap module linked to influenza pathways","stewardship|pathogen_pack|drp|coinfection"
"liddy_2025","Liddy et al. (2025) DOI: 10.1097/CCE.1289","Ireland","National sepsis dataset","100941 sepsis events","Retrospective national cohort","respiratory_viral_sepsis_comparison","influenza","influenza","HA-sepsis onset >=2 days post-admission","ICD-10-AM coding","National longitudinal dataset","HA vs CA sepsis; pathogen-category comparisons","Flu/pneumonia accounted for 28.9% of HA-sepsis and had OR 1.86 for death","Flu/pneumonia and SARS-CoV-2 both caused high critical care burden","Sepsis after surgery/device or during admission","Underlying multimorbidity; Medical Card proxy; cardiac disease for non-flu comparison","NR","NR","NR","46.9% required critical care; 24.4% mortality; median stay 27d; ICU 9d","Massive systemic sepsis strain","Secondary bacterial sepsis high risk","IPC-related decline 2020-2022","OR 1.86 death for flu/pneumonia; OR 2.34 for SARS-CoV-2; AOR 1.52 for HA death","Adjusted analysis present","Administrative coding may blur microbiologic specificity","HA-sepsis due to respiratory viral syndromes carries major mortality and critical care burden at national scale","Useful as problem-justification and severity-burden evidence, though not influenza-specific enough for fine pathogen-pack detail","resource_strain|problem_justification|sepsis|mortality"
"liddy_2025","Liddy et al. (2025) DOI: 10.1097/CCE.1289","Ireland","National sepsis dataset","100941 sepsis events","Retrospective national cohort","respiratory_viral_sepsis_comparison","sars_cov_2","non_influenza","HA-sepsis onset >=2 days post-admission","ICD-10-AM coding","National longitudinal dataset","HA vs CA sepsis; pathogen-category comparisons","SARS-CoV-2 had OR 2.34 for death; HA share 14.8% of all sepsis","Flu/pneumonia and SARS-CoV-2 both caused high critical care burden","Sepsis after surgery/device or during admission","Underlying multimorbidity; Medical Card proxy; cardiac disease for non-flu comparison","NR","NR","NR","46.9% required critical care; 24.4% mortality; median stay 27d; ICU 9d","Massive systemic sepsis strain","Secondary bacterial sepsis high risk","IPC-related decline 2020-2022","OR 1.86 death for flu/pneumonia; OR 2.34 for SARS-CoV-2; AOR 1.52 for HA death","Adjusted analysis present","Administrative coding may blur microbiologic specificity","HA-sepsis due to respiratory viral syndromes carries major mortality and critical care burden at national scale","Useful as problem-justification and severity-burden evidence, though not influenza-specific enough for fine pathogen-pack detail","resource_strain|problem_justification|sepsis|mortality"
"bonin_2025","Bonin et al. (2025) DOI: 10.57187/s.4324","Switzerland","Regional hospital network / Swiss regional setting","8135 tests","Retrospective cohort","influenza_vs_rsv_testing_cohort","influenza","influenza","Nosocomial >=48h post-admission","Quadrivalent PCR","Testing cohort with pandemic-era temporal effects","Flu/RSV descriptive comparison","Dual Flu/RSV was rare; flu mimicked bacterial HAP in resource use","Flu vs RSV hospital burden described in same testing system","Deterioration around day 4 of stay; RSV noted explicitly","Cardiac disease; pulmonary disease; anemia","Quadrivalent PCR confirmation; 39% had pulmonary infiltrates","NR","NR","Mean stay 8 days; ICU/intermediate care 8.9%; RSV mortality 6%","Resource use mirrored bacterial HAP","Flu and RSV may mimic bacterial HAP; differential testing important","Pandemic suppression shifted cycles","Descriptive testing and positivity measures","Not clear if adjusted","Regional and testing-based dataset; not all findings influenza-specific","Quadrivalent PCR surveillance improves recognition of viral inpatient disease that can resemble bacterial HAP","Good for differential diagnosis, adult RSV comparison, and diagnostic-gap logic","dx_gap|resource_strain|differential_diagnosis|rsv"
"bonin_2025","Bonin et al. (2025) DOI: 10.57187/s.4324","Switzerland","Regional hospital network / Swiss regional setting","8135 tests","Retrospective cohort","influenza_vs_rsv_testing_cohort","rsv","non_influenza","Nosocomial >=48h post-admission","Quadrivalent PCR","Testing cohort with pandemic-era temporal effects","Flu/RSV descriptive comparison","RSV positivity 2.8%; 77% test surge; RSV inpatients had 6% mortality and 8.9% ICU/intermediate care","Flu vs RSV hospital burden described in same testing system","Deterioration around day 4 of stay; RSV noted explicitly","Cardiac disease; pulmonary disease; anemia","Quadrivalent PCR confirmation; 39% had pulmonary infiltrates","NR","NR","Mean stay 8 days; ICU/intermediate care 8.9%; RSV mortality 6%","Resource use mirrored bacterial HAP","Flu and RSV may mimic bacterial HAP; differential testing important","Pandemic suppression shifted cycles","Descriptive testing and positivity measures","Not clear if adjusted","Regional and testing-based dataset; not all findings influenza-specific","Quadrivalent PCR surveillance improves recognition of viral inpatient disease that can resemble bacterial HAP","Good for differential diagnosis, adult RSV comparison, and diagnostic-gap logic","dx_gap|resource_strain|differential_diagnosis|rsv"
"ursic_2025","Ursic et al. (2025) DOI: 10.3390/jcm13226458","Slovenia","Mixed ICU","92 mechanically ventilated patients","Prospective/diagnostic comparative ICU study","mixed_viral_hap_vap","influenza_a|influenza_b|influenza","influenza","HAP/VAP >=48h post-admission or intubation","BioFire PNplus panel vs culture","ICU ventilated cohort","Culture vs rapid multiplex PCR; unsuspected viral cases","4 unsuspected influenza cases detected (3 Influenza A, 1 Influenza B)","Shows hidden influenza and other viruses missed by culture-based workflows","Culture-negative but clinically failing patients as trigger","NR","Antibiotics masked 43% of cultures; rapid PCR identified pathogens in 1.5h vs 72h","ICU ventilated environment only","NR","100% ventilation cohort; overall mortality 21.7%; median ICU 11d; total stay 21.5d","PCR significantly cut diagnostic lag","Co-circulation with S. aureus and K. pneumoniae; antibiotic adjustment in 62%","Higher viral yield in winter","1.5h vs 72h; 43% cultures masked; antibiotics adjusted in 62%","Diagnostic comparative study","Small ICU cohort; not influenza-only","Rapid multiplex PCR uncovers hidden influenza and other viral etiologies in ventilated HAP/VAP patients and materially changes stewardship","Excellent support for rapid testing, hidden influenza detection, and stewardship workflow","stewardship|pathogen_pack|rapid_testing|hidden_flu"
"ursic_2025","Ursic et al. (2025) DOI: 10.3390/jcm13226458","Slovenia","Mixed ICU","92 mechanically ventilated patients","Prospective/diagnostic comparative ICU study","mixed_viral_hap_vap","rhinovirus_enterovirus|mixed_non_influenza_viruses","non_influenza","HAP/VAP >=48h post-admission or intubation","BioFire PNplus panel vs culture","ICU ventilated cohort","Culture vs rapid multiplex PCR; unsuspected viral cases","Rhino/Entero 11 cases; mixed viral yield in ventilated ICU","Shows hidden influenza and other viruses missed by culture-based workflows","Culture-negative but clinically failing patients as trigger","NR","Antibiotics masked 43% of cultures; rapid PCR identified pathogens in 1.5h vs 72h","ICU ventilated environment only","NR","100% ventilation cohort; overall mortality 21.7%; median ICU 11d; total stay 21.5d","PCR significantly cut diagnostic lag","Co-circulation with S. aureus and K. pneumoniae; antibiotic adjustment in 62%","Higher viral yield in winter","1.5h vs 72h; 43% cultures masked; antibiotics adjusted in 62%","Diagnostic comparative study","Small ICU cohort; not influenza-only","Rapid multiplex PCR uncovers hidden influenza and other viral etiologies in ventilated HAP/VAP patients and materially changes stewardship","Excellent support for rapid testing, hidden influenza detection, and stewardship workflow","stewardship|pathogen_pack|rapid_testing|hidden_flu"
"zhang_2025","Zhang et al. (2025) DOI: 10.3389/fpubh.2025.1495794","China","Zhengzhou Central Hospital","953 adults","Retrospective ML study","influenza_with_nonflu_background_context","influenza","influenza","HA onset >=48h post-admission","8 ML algorithms; XGBoost optimal","Jan 2021 to May 2024","HA-flu severity risk groups within monitored influenza cases","4.7% of monitored influenza cases were HA; 39.2% severe illness incidence in HA-flu; mortality 18.8%; 11.38% of all flu was HA","Non-flu surveillance often dominates and may miss HA-flu","Deterioration in high-risk screened groups","Age >60; malignant tumor; chronic renal failure; pneumonia","Lymphopenia; BMI; hypoproteinemia","NR","NR","Severe illness 39.2%; mortality 18.8%; prolonged hospitalization","Routine data could support early automated screening","Surveillance often misses HA-flu while focusing on bacteria/other viruses","Jan 2021-May 2024 longitudinal","XGBoost AUC 0.826; online tool for 73.3% risk probability alerts","ML model-based","Single-center retrospective model; details on external validation not in summary","Routine inpatient data can predict severe HA-influenza early enough to support automated screening","Strong direct support for influenza-specific risk engine and early warning logic","pathogen_pack|risk_profile|dx_gap|ml_screening"
"zhang_2025","Zhang et al. (2025) DOI: 10.3389/fpubh.2025.1495794","China","Zhengzhou Central Hospital","953 adults","Retrospective ML study","influenza_with_nonflu_background_context","mixed_non_influenza_background","non_influenza","HA onset >=48h post-admission","8 ML algorithms; XGBoost optimal","Jan 2021 to May 2024","HA-flu severity risk groups within monitored influenza cases","Background non-flu surveillance context only","Non-flu surveillance often dominates and may miss HA-flu","Deterioration in high-risk screened groups","Age >60; malignant tumor; chronic renal failure; pneumonia","Lymphopenia; BMI; hypoproteinemia","NR","NR","Severe illness 39.2%; mortality 18.8%; prolonged hospitalization","Routine data could support early automated screening","Surveillance often misses HA-flu while focusing on bacteria/other viruses","Jan 2021-May 2024 longitudinal","XGBoost AUC 0.826; online tool for 73.3% risk probability alerts","ML model-based","Single-center retrospective model; details on external validation not in summary","Routine inpatient data can predict severe HA-influenza early enough to support automated screening","Strong direct support for influenza-specific risk engine and early warning logic","pathogen_pack|risk_profile|dx_gap|ml_screening"
"costa_salachas_2025","Costa Salachas et al. (2025) PMID: 40217353","France","900-bed university hospital, 27 wards","27 wards over 10 years","Retrospective cohort","influenza_plus_other_ha_vri","influenza","influenza","Positive PCR >=5 days after admission","PCR plus linear mixed-effects model","10 consecutive years including pandemic","Ward-level architecture and community-incidence comparisons","For influenza, HA incidence increased by +0.01/1000 days per 10% increase in double-room exposure","Parallel architecture/transmission dynamics across flu and broader HA-VRI","Double-occupancy rooms; community incidence; mask and sanitizer utilization","Double-room density; community-acquired case density","NR","Double-occupancy room density as structural risk factor","Ward-level clustering tied to room occupancy and community incidence","Statistical association between architecture and HA transmission","Supports structural mitigation and ward-level prevention planning","Focus on viral transmission dynamics rather than bacterial coinfection","10-year period including pandemic disruption","p<0.001 for community-acquired case association with HA incidence; flu-specific increment +0.01/1000 days per 10% room increase","Linear mixed-effects modeling","Ward-level ecological design may limit patient-level causality","Hospital architecture, especially double-room density, materially influences hospital-acquired influenza and other viral transmission","Very strong for structural-risk and ward-vulnerability modules","ward_vulnerability|structural_risk|space_time_overlap|ipc"
"costa_salachas_2025","Costa Salachas et al. (2025) PMID: 40217353","France","900-bed university hospital, 27 wards","27 wards over 10 years","Retrospective cohort","influenza_plus_other_ha_vri","mixed_ha_vri_non_influenza","non_influenza","Positive PCR >=5 days after admission","PCR plus linear mixed-effects model","10 consecutive years including pandemic","Ward-level architecture and community-incidence comparisons","Overall HA-VRI incidence 0.57/1000 hospital-days; community incidence associated with HA incidence","Parallel architecture/transmission dynamics across flu and broader HA-VRI","Double-occupancy rooms; community incidence; mask and sanitizer utilization","Double-room density; community-acquired case density","NR","Double-occupancy room density as structural risk factor","Ward-level clustering tied to room occupancy and community incidence","Statistical association between architecture and HA transmission","Supports structural mitigation and ward-level prevention planning","Focus on viral transmission dynamics rather than bacterial coinfection","10-year period including pandemic disruption","p<0.001 for community-acquired case association with HA incidence; flu-specific increment +0.01/1000 days per 10% room increase","Linear mixed-effects modeling","Ward-level ecological design may limit patient-level causality","Hospital architecture, especially double-room density, materially influences hospital-acquired influenza and other viral transmission","Very strong for structural-risk and ward-vulnerability modules","ward_vulnerability|structural_risk|space_time_overlap|ipc"
"dabaja_younis_2024","Dabaja-Younis et al. (2024) DOI: 10.1186/s12879-024-09240-0","Israel","1000-bed tertiary hospital","All ages","Retrospective cohort","influenza_vs_sars_cov_2_response_ecology","influenza","influenza","Hospital-acquired identified >48h post-admission; C. difficile >=72h","Vitek-2 plus PCR","2016-2021; winter seasons vs pandemic waves","Seasonal influenza periods vs pandemic periods","Influenza did not trigger heightened vigilance or equivalent ICU escalation and showed no significant resistance impact","Contrasts routine influenza-season behavior with pandemic response behavior","Healthcare worker behavior, burnout, shortages, and capacity limits influenced transmission-control response","Staff non-compliance and fear-based behavior differences were key operational predictors","Hand hygiene 70%; glove non-compliance 40%; no major behavior change during routine influenza periods","Environmental cleaning and PPE intensified during pandemic response","NR","No equivalent ICU escalation during seasonal influenza; secondary infection burden rose in pandemic response","High PPE use and intensified environmental cleaning during pandemic response","Altered bacterial spread: CRE up, MRSA down","Winter seasons Dec-Feb vs pandemic waves Mar-Nov","p=0.233 for no resistance impact in seasonal period; p=0.006 HA-BSI increase; p<0.001 MRSA decline","Comparative retrospective cohort","Not an influenza-outcome paper per se; behavior/institutional response focus","Response to routine influenza threats is weaker than to novel respiratory threats, with implications for compliance and automated enforcement","Important for governance logic and why automation is needed for routine respiratory threats","governance|ipc|human_factors|automation_justification"
"dabaja_younis_2024","Dabaja-Younis et al. (2024) DOI: 10.1186/s12879-024-09240-0","Israel","1000-bed tertiary hospital","All ages","Retrospective cohort","influenza_vs_sars_cov_2_response_ecology","sars_cov_2","non_influenza","Hospital-acquired identified >48h post-admission; C. difficile >=72h","Vitek-2 plus PCR","2016-2021; winter seasons vs pandemic waves","Seasonal influenza periods vs pandemic periods","COVID-era fear-based protocols altered bacterial ecology; CRE increased; MRSA declined","Contrasts routine influenza-season behavior with pandemic response behavior","Healthcare worker behavior, burnout, shortages, and capacity limits influenced transmission-control response","Staff non-compliance and fear-based behavior differences were key operational predictors","Hand hygiene 70%; glove non-compliance 40%; no major behavior change during routine influenza periods","Environmental cleaning and PPE intensified during pandemic response","NR","No equivalent ICU escalation during seasonal influenza; secondary infection burden rose in pandemic response","High PPE use and intensified environmental cleaning during pandemic response","Altered bacterial spread: CRE up, MRSA down","Winter seasons Dec-Feb vs pandemic waves Mar-Nov","p=0.233 for no resistance impact in seasonal period; p=0.006 HA-BSI increase; p<0.001 MRSA decline","Comparative retrospective cohort","Not an influenza-outcome paper per se; behavior/institutional response focus","Response to routine influenza threats is weaker than to novel respiratory threats, with implications for compliance and automated enforcement","Important for governance logic and why automation is needed for routine respiratory threats","governance|ipc|human_factors|automation_justification"
"grant_2025","Grant et al. (2025) DOI: 10.1093/cid/ciae558","Switzerland","9 tertiary/large regional hospitals","3769 adults","Retrospective nationwide cohort","hospital_acquired_influenza_vs_omicron","influenza","influenza","Hospital-acquired symptom onset plus positive PCR >=3 days post-admission","PCR; Fine-Gray models","Jan 2022 to Mar 2023","868 HA-influenza vs 2901 HA-Omicron","HA-influenza had acute complications 35.3%, ICU 2.6%, IMCU 1.4%, mortality 6.1%","Shows HA-influenza severity roughly comparable to HA-Omicron in mortality","Established inpatient respiratory symptoms with hospital-onset testing","Older age, higher Charlson score; lack of vaccination linked to prolonged stay","Positive influenza A/B PCR panel","NR","NR","Mortality 6.1% vs 6.2%; median stay 11 days for HA-flu; substantial acute complications","High critical care demand similar to Omicron","Secondary bacterial pneumonia frequent; bacterial coinfection not main focus","Temperate winter seasonality for flu; year-round pandemic context","sHR 0.91 for mortality equivalence framing; Fine-Gray models","Adjusted competing-risk modeling","Observational nationwide cohort; pathogen-specific comparability may still have residual confounding","Modern hospital-acquired influenza remains as clinically serious as HA-COVID in several key outcomes","Very strong modern justification that HA-influenza deserves high-severity operational treatment","problem_justification|comparative_epidemiology|unvaccinated|high_severity"
"grant_2025","Grant et al. (2025) DOI: 10.1093/cid/ciae558","Switzerland","9 tertiary/large regional hospitals","3769 adults","Retrospective nationwide cohort","hospital_acquired_influenza_vs_omicron","sars_cov_2","non_influenza","Hospital-acquired symptom onset plus positive PCR >=3 days post-admission","PCR; Fine-Gray models","Jan 2022 to Mar 2023","868 HA-influenza vs 2901 HA-Omicron","HA-Omicron mortality 6.2%, ICU 2.4%, IMCU 2.9%, median stay 12 days","Shows HA-influenza severity roughly comparable to HA-Omicron in mortality","Established inpatient respiratory symptoms with hospital-onset testing","Older age, higher Charlson score; lack of vaccination linked to prolonged stay","Positive influenza A/B PCR panel","NR","NR","Mortality 6.1% vs 6.2%; median stay 11 days for HA-flu; substantial acute complications","High critical care demand similar to Omicron","Secondary bacterial pneumonia frequent; bacterial coinfection not main focus","Temperate winter seasonality for flu; year-round pandemic context","sHR 0.91 for mortality equivalence framing; Fine-Gray models","Adjusted competing-risk modeling","Observational nationwide cohort; pathogen-specific comparability may still have residual confounding","Modern hospital-acquired influenza remains as clinically serious as HA-COVID in several key outcomes","Very strong modern justification that HA-influenza deserves high-severity operational treatment","problem_justification|comparative_epidemiology|unvaccinated|high_severity"
